pid,pname,category,price
b7a5fac8-2ea0-4cf6-8dbf-4830339327ef,Station Accept,Clothing,271.89
dca1b489-6610-480c-8956-01f38aa42357,Size Again,Home,610.92
39fe911f-59c0-4351-b7da-409ceffecbe7,Hit Nature,Home,517.56
ac4117c8-5b67-4f34-b76f-cd8cd8fc7d54,Benefit Require,Books,825.05
0f63f34d-78c4-4129-84c6-7772bfeb88cd,Wall Gas,Clothing,480.99
ed8a2f25-396a-46ec-a4bc-ecc85a7fd129,Exactly Prepare,Electronics,169.06
fdc0b3fb-9574-41a0-843c-3cbd994b6c02,Piece Home,Electronics,153.04
d62ce575-1e59-4716-bd72-26ca1bdcb868,Paper Game,Sports,942.05
ca2e0aac-2d39-4521-a521-d4223f22023e,Camera Hear,Sports,818.15
1e6224a9-305f-4036-bec9-99af8c54d547,Certainly Similar,Home,559.66
bbb2000b-b76d-4332-b936-ad0e1425f0e3,West Course,Sports,689.25
fc29f502-b607-4bc9-8ad0-1f1a317033e1,Their Drop,Clothing,105.06
8e7102de-4189-4390-be31-f6ffd4bf48d3,Suffer Ask,Home,642.1
49ff3e34-ed7d-4d8e-8cd3-fecfa480bf76,Book Significant,Electronics,320.72
3e16f6ef-64cf-4749-bbad-691bd9aa9524,Spend Though,Books,776.37
07c348b5-0fef-4638-9570-0caa81b47f79,Help Free,Electronics,520.8
19311c0f-6ff8-44b5-99f2-3bbe64b922e2,Especially Hotel,Electronics,438.76
116ac34f-138a-4e4d-bc01-034c01ef87ac,When You,Clothing,266.19
6f460ca5-43b3-47cb-a71d-50efe8524936,Million Well,Clothing,829.19
bf405539-3a5b-4b03-834f-7b617d6d1899,Sign The,Books,853.62
fb0b0a6d-b95c-44c0-97b0-215d9c7d4be2,Sort You,Home,32.92
9a0ebe61-6598-4b74-8470-04af2e94adfc,Situation Religious,Electronics,608.74
56a390e4-b249-4117-8d48-4787953688bc,Tv Speech,Electronics,334.54
b1aa1111-1c15-4acd-9c69-08997dc549c4,Wait Range,Clothing,204.53
b5b34832-2654-4b1b-b769-fab2b4e84e70,Safe Tell,Books,581.32
1d7fed33-acd8-4465-ba1c-35ba39e008b4,Usually Baby,Clothing,726.46
39a8a22b-707c-4c57-8841-4e08d2fbf45e,Discover Able,Books,711.98
93bccd90-b64d-4a6b-b937-89f28278e43a,Film Officer,Books,429.44
67daaacd-c838-4288-a2e2-e1842a4593c7,Popular Nothing,Sports,644.12
a9fb6732-a1d6-4be1-894e-366b2cb856ba,Nice Long,Home,684.54
46c525b5-848e-4735-b657-c86711340d53,Appear Little,Home,682.01
0ff7d726-38c6-4dc2-ac34-32560acfce60,Economy Green,Home,743.96
632a3526-2b5e-4554-b897-e92b240e9a7c,There Worry,Clothing,712.22
e6f2dffb-f1d3-4b88-bba4-e20d53bad14d,Can Any,Sports,650.96
972f5f95-d5c7-49ef-a81f-865e502f55c9,Lawyer Indeed,Clothing,78.7
6cf604d5-2507-4d94-9e22-d6288dd3beac,Could Agree,Sports,610.81
5bd5c216-fc64-49ae-9b1f-c4d619720bd5,Raise Great,Books,384.95
dfe99117-34c9-4885-aaeb-46a4237a0a65,Develop After,Books,221.86
