number,year,country,activity,sex,age,fatal_clean,decade,century
61824,2017,AUSTRALIA,Kayaking / Fishing,F,15.0,0,2010,21
61825,2017,NEW ZEALAND,Kayaking,M,24.0,0,2010,21
61826,2017,USA,Swimming,M,24.0,0,2010,21
61827,2017,USA,Surfing,M,54.0,0,2010,21
61828,2017,USA,Snorkeling,F,40.0,0,2010,21
61829,2017,SOUTH AFRICA,Scuba Diving,M,31.0,0,2010,21
61830,2017,USA,Surfing,M,24.0,0,2010,21
61831,2017,AUSTRALIA,Surfing,M,24.0,0,2010,21
61832,2017,USA,Surfing,M,33.0,0,2010,21
61833,2017,USA,Surfing,M,24.0,0,2010,21
61834,2017,USA,Surfing,M,24.0,0,2010,21
61835,2017,SPAIN,Body surfing,M,13.0,0,2010,21
61836,2017,USA,Surfing,M,28.0,0,2010,21
61837,2017,SOUTH AFRICA,Scuba Diving,M,25.0,0,2010,21
61838,2017,SAMOA,Fishing,M,24.0,0,2010,21
61839,2017,AUSTRALIA,Fishing,Unknown,24.0,0,2010,21
61840,2017,USA,Surfing,M,18.0,0,2010,21
61841,2017,AUSTRALIA,Swimming,M,24.0,0,2010,21
61842,2017,AUSTRALIA,Surfing,M,35.0,0,2010,21
61843,2017,SOLOMON ISLANDS,Spearfishing,M,24.0,0,2010,21
61844,2017,SOUTH AFRICA,"Swimming, poaching abalone",M,24.0,1,2010,21
61845,2017,JAPAN,Surfing,M,42.0,0,2010,21
61846,2017,USA,Swimming,M,24.0,0,2010,21
61847,2017,USA,Swimming,F,24.0,0,2010,21
61848,2017,USA,Surfing,M,17.0,0,2010,21
61849,2017,AUSTRALIA,Surfing,M,37.0,0,2010,21
61850,2017,USA,Wading,F,3.0,0,2010,21
61851,2017,SPAIN,Swimming,F,11.0,0,2010,21
61852,2017,NEW ZEALAND,Canoeing,M,24.0,0,2010,21
61853,2017,USA,SUP,M,69.0,0,2010,21
61854,2017,BAHAMAS,Spearfishing,M,24.0,0,2010,21
61855,2017,USA,Swimming,M,13.0,0,2010,21
61856,2017,EGYPT,Snorkeling,F,20.0,0,2010,21
61857,2017,USA,Fishing,M,34.0,0,2010,21
61858,2017,USA,Kayaking / Fishing,M,24.0,0,2010,21
61859,2017,USA,Skimboarding,M,15.0,0,2010,21
61860,2017,USA,Swimming,M,10.0,0,2010,21
61861,2017,USA,Unknown,F,12.0,0,2010,21
61862,2017,BAHAMAS,Snorkeling,F,24.0,0,2010,21
61863,2017,BAHAMAS,Spearfishing,M,24.0,0,2010,21
61864,2017,"ST HELENA, British overseas territory",Surfing,M,37.0,0,2010,21
61865,2017,USA,Unknown,F,24.0,0,2010,21
61866,2017,SPAIN,Swimming,F,24.0,0,2010,21
61867,2017,USA,Unknown,F,40.0,0,2010,21
61868,2017,USA,Swimming,F,8.0,0,2010,21
61869,2017,USA,Kayaking,M,40.0,0,2010,21
61870,2017,USA,SUP,M,50.0,0,2010,21
61871,2017,USA,Surfing,M,24.0,0,2010,21
61872,2017,AUSTRALIA,Surfing,M,24.0,0,2010,21
61873,2017,USA,Kayaking,M,24.0,0,2010,21
61874,2017,USA,Swimming,M,46.0,0,2010,21
61875,2017,MEXICO,Fishing,M,32.0,0,2010,21
61876,2017,SOUTH AFRICA,Surfing,F,13.0,0,2010,21
61877,2017,COMOROS,Fishing,Unknown,24.0,0,2010,21
61878,2017,USA,Fishing,M,24.0,0,2010,21
61879,2017,USA,Swimming,F,16.0,0,2010,21
61880,2017,USA,Surfing,M,24.0,0,2010,21
61881,2017,USA,Swimming,F,14.0,0,2010,21
61882,2017,REUNION,Body boarding,M,34.0,0,2010,21
61883,2017,SPAIN,Swimming,M,82.0,0,2010,21
61884,2017,FRENCH POLYNESIA,Surfing,M,24.0,0,2010,21
61885,2017,BAHAMAS,Feeding sharks,F,24.0,0,2010,21
61886,2017,AUSTRALIA,Body boarding,M,48.0,0,2010,21
61887,2017,AUSTRALIA,Surfing,F,24.0,0,2010,21
61888,2017,USA,Surfing,M,19.0,0,2010,21
61889,2017,UNITED KINGDOM,Surfing,M,30.0,0,2010,21
61890,2017,USA,Spearfishing,M,24.0,0,2010,21
61891,2017,BAHAMAS,Snorkeling,F,32.0,0,2010,21
61892,2017,USA,Touching a shark,F,20.0,0,2010,21
61893,2017,USA,Feeding sharks,M,24.0,0,2010,21
61894,2017,AUSTRALIA,Fishing,M,73.0,0,2010,21
61895,2017,UNITED ARAB EMIRATES,Spearfishing,M,41.0,0,2010,21
61896,2017,AUSTRALIA,Attempting to lasso a shark,M,29.0,0,2010,21
61897,2017,MEXICO,Snorkeling,M,33.0,1,2010,21
61898,2017,USA,Surfing,F,18.0,0,2010,21
61899,2017,USA,Swimming,F,24.0,0,2010,21
61900,2017,SOUTH AFRICA,Surfing,M,14.0,0,2010,21
61901,2017,USA,Surfing,F,33.0,0,2010,21
61902,2017,REUNION,Body boarding,M,28.0,1,2010,21
61903,2017,NEW ZEALAND,Body boarding,F,20.0,0,2010,21
61904,2017,USA,Photo shoot,F,24.0,0,2010,21
61905,2017,"ST HELENA, British overseas territory",Snorkeling,F,40.0,0,2010,21
61906,2017,USA,Swimming,M,24.0,0,2010,21
61907,2017,USA,Unknown,Unknown,24.0,0,2010,21
61908,2017,AUSTRALIA,Surfing,F,17.0,1,2010,21
61909,2017,USA,Surfing,M,28.0,0,2010,21
61910,2017,USA,Surfing,M,17.0,0,2010,21
61911,2017,USA,Surfing,F,24.0,0,2010,21
61912,2017,SOUTH AFRICA,Scuba Diving,M,68.0,0,2010,21
61913,2017,USA,Surfing,F,35.0,0,2010,21
61914,2017,USA,Paddle boarding,F,10.0,0,2010,21
61915,2017,USA,Swimming,F,21.0,0,2010,21
61916,2017,USA,Swimming,M,16.0,0,2010,21
61917,2017,USA,Swimming,F,51.0,0,2010,21
61918,2017,AUSTRALIA,Kakaying,M,39.0,0,2010,21
61919,2017,USA,Swimming,F,17.0,0,2010,21
61920,2017,USA,Surfing,M,58.0,0,2010,21
61921,2017,AUSTRALIA,Body boarding,M,30.0,0,2010,21
61922,2017,USA,Kayaking,M,24.0,0,2010,21
61923,2017,PHILIPPINES,Spearfishing,M,25.0,0,2010,21
61924,2017,BAHAMAS,Washing hands,M,58.0,0,2010,21
61925,2017,AUSTRALIA,Snorkeling,F,24.0,0,2010,21
61926,2017,AUSTRALIA,Surfing,M,24.0,0,2010,21
61927,2017,REUNION,Body boarding,M,26.0,1,2010,21
61928,2017,AUSTRALIA,Spearfishing,M,26.0,0,2010,21
61929,2017,USA,Swimming,M,22.0,0,2010,21
61930,2017,BRAZIL,Grabbing shark for a selfie,F,24.0,0,2010,21
61931,2017,SOUTH AFRICA,Kayak fishing,M,24.0,0,2010,21
61932,2017,USA,Tagging sharks,Unknown,24.0,0,2010,21
61933,2017,BAHAMAS,Scuba Diving,M,37.0,0,2010,21
61934,2017,BRAZIL,Swimming,M,21.0,0,2010,21
61935,2017,USA,Unknown,M,24.0,0,2010,21
61936,2017,AUSTRALIA,Scuba Diving,M,55.0,0,2010,21
61937,2017,AUSTRALIA,Swimming,M,57.0,0,2010,21
61938,2017,USA,Unknown,M,24.0,0,2010,21
61939,2017,INDONESIA,Surfing,M,48.0,0,2010,21
61940,2017,USA,Wading,M,47.0,0,2010,21
61941,2017,AUSTRALIA,Wading,M,20.0,0,2010,21
61942,2016,USA,Surfing,M,16.0,0,2010,21
61943,2016,AUSTRALIA,Snorkeling,F,24.0,0,2010,21
61944,2016,SOUTH AFRICA,Surf skiing,M,55.0,0,2010,21
61945,2016,AUSTRALIA,Free diving,M,61.0,0,2010,21
61946,2016,FRENCH POLYNESIA,Fishing,M,40.0,0,2010,21
61947,2016,USA,Surfing,M,19.0,0,2010,21
61948,2016,AUSTRALIA,Surf fishing,M,20.0,0,2010,21
61949,2016,AUSTRALIA,Surfing,M,65.0,0,2010,21
61950,2016,AUSTRALIA,Fishing,M,73.0,0,2010,21
61951,2016,USA,Floating,F,58.0,0,2010,21
61952,2016,USA,Surfing,M,41.0,0,2010,21
61953,2016,USA,Surfing,M,42.0,0,2010,21
61954,2016,AUSTRALIA,Surfing,M,36.0,0,2010,21
61955,2016,USA,Surfing,M,36.0,0,2010,21
61956,2016,AUSTRALIA,Surfing,M,24.0,0,2010,21
61957,2016,USA,Snorkeling,F,66.0,0,2010,21
61958,2016,MEXICO,Cage Diving,M,24.0,0,2010,21
61959,2016,AUSTRALIA,Surfing,M,25.0,0,2010,21
61960,2016,USA,Surfing,M,29.0,0,2010,21
61961,2016,USA,Surfing,M,21.0,0,2010,21
61962,2016,USA,Surfng,M,32.0,0,2010,21
61963,2016,AUSTRALIA,Surfing,M,17.0,0,2010,21
61964,2016,USA,Surfing,M,16.0,0,2010,21
61965,2016,USA,Surfing,M,36.0,0,2010,21
61966,2016,USA,Surfing,M,43.0,0,2010,21
61967,2016,USA,Surfing,M,43.0,0,2010,21
61968,2016,AUSTRALIA,Surfing,M,24.0,0,2010,21
61969,2016,AUSTRALIA,Surfing,M,24.0,0,2010,21
61970,2016,AUSTRALIA,Fishing,Unknown,24.0,0,2010,21
61971,2016,USA,Wading,M,60.0,0,2010,21
61972,2016,USA,Swimming,F,51.0,0,2010,21
61973,2016,NEW CALEDONIA,Kite surfing,M,50.0,1,2010,21
61974,2016,USA,Boogie boarding,F,12.0,0,2010,21
61975,2016,AUSTRALIA,Surfing,M,24.0,0,2010,21
61976,2016,USA,Body boarding,M,9.0,0,2010,21
61977,2016,USA,Spearfishing,M,22.0,0,2010,21
61978,2016,MEXICO,Cage Diving,Unknown,24.0,0,2010,21
61979,2016,USA,Surfing,M,25.0,0,2010,21
61980,2016,USA,Surfing,M,37.0,0,2010,21
61981,2016,REUNION,Surfing,M,20.0,0,2010,21
61982,2016,USA,Wading,M,49.0,0,2010,21
61983,2016,BAHAMAS,Snorkeling,M,15.0,0,2010,21
61984,2016,USA,SUP Foil boarding,M,21.0,0,2010,21
61985,2016,USA,Surfing,M,22.0,0,2010,21
61986,2016,SPAIN,Swimming,M,40.0,0,2010,21
61987,2016,CHINA,Swimming,M,72.0,0,2010,21
61988,2016,AUSTRALIA,Kayaking,M,24.0,0,2010,21
61989,2016,USA,Lobstering,M,43.0,0,2010,21
61990,2016,AUSTRALIA,Surfing,M,18.0,0,2010,21
61991,2016,JAPAN,Surfing,M,29.0,0,2010,21
61992,2016,AUSTRALIA,Surfing,M,36.0,0,2010,21
61993,2016,BAHAMAS,Spearfishing,M,24.0,0,2010,21
61994,2016,AUSTRALIA,Fishing,M,31.0,0,2010,21
61995,2016,USA,Fishing in Alabama Deep Fishing Rodeo,Unknown,24.0,0,2010,21
61996,2016,USA,Surfing,F,9.0,0,2010,21
61997,2016,USA,Unknown,F,11.0,0,2010,21
61998,2016,USA,Kite surfing,M,61.0,0,2010,21
61999,2016,USA,Swimming,M,24.0,0,2010,21
62000,2016,BAHAMAS,Scuba Diving,M,24.0,0,2010,21
62001,2016,SPAIN,Wading,F,10.0,0,2010,21
62002,2016,USA,Fishing for squid,M,24.0,0,2010,21
62003,2016,USA,Fishing,M,59.0,0,2010,21
62004,2016,USA,Fishing for sharks,M,24.0,0,2010,21
62005,2016,USA,Swimming,F,42.0,0,2010,21
62006,2016,AUSTRALIA,Fishing,M,34.0,0,2010,21
62007,2016,USA,Unknown,M,35.0,0,2010,21
62008,2016,USA,Surfing,M,11.0,0,2010,21
62009,2016,COLUMBIA,Scuba Diving,M,59.0,0,2010,21
62010,2016,SOUTH AFRICA,Spearfishing,M,43.0,0,2010,21
62011,2016,USA,Floating,M,42.0,0,2010,21
62012,2016,USA,Wading,M,24.0,0,2010,21
62013,2016,USA,Surfing,M,24.0,0,2010,21
62014,2016,AUSTRALIA,Spearfishing,M,19.0,0,2010,21
62015,2016,USA,Floating in tube,F,6.0,0,2010,21
62016,2016,USA,Standing,M,19.0,0,2010,21
62017,2016,USA,Surfing,M,27.0,0,2010,21
62018,2016,USA,Swimming,M,64.0,0,2010,21
62019,2016,AUSTRALIA,Diving,F,60.0,1,2010,21
62020,2016,EGYPT,Swimming,M,23.0,0,2010,21
62021,2016,AUSTRALIA,Spearfishing,M,24.0,0,2010,21
62022,2016,NEW CALEDONIA,Kite surfing,M,24.0,0,2010,21
62023,2016,AUSTRALIA,Surfing,M,29.0,1,2010,21
62024,2016,USA,Swimming,F,52.0,0,2010,21
62025,2016,USA,Swimming,M,13.0,0,2010,21
62026,2016,USA,Swimming,F,57.0,0,2010,21
62027,2016,USA,Swimming,F,22.0,0,2010,21
62028,2016,USA,Swimming,F,11.0,0,2010,21
62029,2016,USA,Swimming,M,48.0,0,2010,21
62030,2016,USA,Teasing a shark,F,23.0,0,2010,21
62031,2016,USA,Floating,M,59.0,0,2010,21
62032,2016,NEW ZEALAND,Fishing,M,39.0,0,2010,21
62033,2016,INDONESIA,Surfing,M,24.0,0,2010,21
62034,2016,USA,Surfing,M,15.0,0,2010,21
62035,2016,SOUTH AFRICA,Surf-skiing,M,24.0,0,2010,21
62036,2016,AUSTRALIA,Swimming,M,12.0,0,2010,21
62037,2016,FRENCH POLYNESIA,Spearfishing,M,22.0,0,2010,21
62038,2016,FRENCH POLYNESIA,Spearfishing,M,26.0,0,2010,21
62039,2016,USA,Spearfishing,M,26.0,0,2010,21
62040,2016,NEW CALEDONIA,Walking,F,69.0,1,2010,21
62041,2016,CAPE VERDE,Unknown,M,60.0,0,2010,21
62042,2016,USA,Fishing,M,34.0,0,2010,21
62043,2016,USA,SUP,M,24.0,0,2010,21
62044,2016,USA,Snorkeling,F,46.0,0,2010,21
62045,2016,AUSTRALIA,Surfing,M,22.0,0,2010,21
62046,2016,USA,Unknown,M,24.0,0,2010,21
62047,2016,AUSTRALIA,Surfing,M,41.0,0,2010,21
62048,2016,BAHAMAS,Unknown,M,9.0,0,2010,21
62049,2016,USA,Surfing,Unknown,24.0,0,2010,21
62050,2016,USA,Body surfing,M,19.0,0,2010,21
62051,2016,Fiji,Diving for beche-de-mer,M,45.0,1,2010,21
62052,2016,USA,Unknown,M,12.0,0,2010,21
62053,2016,AUSTRALIA,Fishing,M,24.0,0,2010,21
62054,2016,BRAZIL,Swimming,M,41.0,0,2010,21
62055,2016,NEW CALEDONIA,Kite surfing,M,21.0,0,2010,21
62056,2016,NEW CALEDONIA,Spearfishing,M,31.0,0,2010,21
62057,2016,DOMINICAN REPUBLIC,Wading,F,24.0,0,2010,21
62058,2016,CAYMAN ISLANDS,Feeding stingrays?,M,65.0,0,2010,21
62059,2016,AUSTRALIA,Surfing,M,24.0,0,2010,21
62060,2016,AUSTRALIA,Walking,F,45.0,0,2010,21
62061,2016,AUSTRALIA,Windsurfing,M,40.0,0,2010,21
62062,2016,BRAZIL,Swimming,M,41.0,0,2010,21
62063,2016,SOUTH AFRICA,Kayak fishing,M,24.0,0,2010,21
62064,2016,USA,Surfing,M,24.0,0,2010,21
62065,2016,USA,Surfing,F,15.0,0,2010,21
62066,2016,USA,Spearfishing,M,24.0,0,2010,21
62067,2016,UNITED ARAB EMIRATES,Fishing,M,24.0,0,2010,21
62068,2016,USA,Paddle boarding,M,48.0,0,2010,21
62069,2016,AUSTRALIA,Surfing,M,24.0,0,2010,21
62070,2016,AUSTRALIA,Wading,M,11.0,0,2010,21
62071,2016,AUSTRALIA,Spearfishing,M,31.0,0,2010,21
62072,2015,SOUTH AFRICA,Kayak Fishing,M,24.0,0,2010,21
62073,2015,SPAIN,Swimming,F,38.0,0,2010,21
62074,2015,USA,Paddle boarding,M,71.0,0,2010,21
62075,2015,AUSTRALIA,Surfing,M,43.0,0,2010,21
62076,2015,BRAZIL,Scuba diving,M,32.0,0,2010,21
62077,2015,ARUBA,Sea disaster,M,58.0,1,2010,21
62078,2015,AUSTRALIA,Fishing,Unknown,24.0,0,2010,21
62079,2015,BAHAMAS,Lobster fishing,M,26.0,0,2010,21
62080,2015,SOUTH AFRICA,Swimming / Wading,F,22.0,0,2010,21
62081,2015,ECUADOR,Snorkeling,M,55.0,0,2010,21
62082,2015,USA,Surfing,M,24.0,0,2010,21
62083,2015,USA,Swimming,F,24.0,0,2010,21
62084,2015,USA,Surfing,M,28.0,0,2010,21
62085,2015,AUSTRALIA,Surfing,M,20.0,0,2010,21
62086,2015,USA,Surfing,F,9.0,0,2010,21
62087,2015,USA,Swimming,M,54.0,0,2010,21
62088,2015,USA,Wading,F,28.0,0,2010,21
62089,2015,MOZAMBIQUE,Fishing,M,19.0,0,2010,21
62090,2015,AUSTRALIA,Spearfishing,M,50.0,0,2010,21
62091,2015,USA,Body boarding,M,10.0,0,2010,21
62092,2015,SOUTH AFRICA,Surfing,M,42.0,0,2010,21
62093,2015,USA,Surfing,M,21.0,0,2010,21
62094,2015,USA,Surfing,M,21.0,0,2010,21
62095,2015,MOZAMBIQUE,Fishing for shrimp,F,35.0,1,2010,21
62096,2015,USA,Surfing,M,32.0,0,2010,21
62097,2015,USA,Swimming,M,44.0,0,2010,21
62098,2015,USA,Kayak Fishing,M,24.0,0,2010,21
62099,2015,USA,Boogie boarding,F,9.0,0,2010,21
62100,2015,USA,Surfing,M,25.0,0,2010,21
62101,2015,MOZAMBIQUE,Fishing,M,24.0,0,2010,21
62102,2015,AUSTRALIA,Surfing,M,18.0,0,2010,21
62103,2015,USA,Body boarding,M,22.0,0,2010,21
62104,2015,USA,Wading,M,13.0,0,2010,21
62105,2015,USA,Surfing,M,14.0,0,2010,21
62106,2015,USA,Surfing,M,22.0,0,2010,21
62107,2015,AUSTRALIA,Snorkeling,F,7.0,0,2010,21
62108,2015,USA,Kayak fishing,M,24.0,0,2010,21
62109,2015,USA,Surfing,M,14.0,0,2010,21
62110,2015,USA,Spearfishing,M,27.0,0,2010,21
62111,2015,USA,Wading,M,12.0,0,2010,21
62112,2015,USA,Photographing fish,M,16.0,0,2010,21
62113,2015,USA,Kayak Fishing,M,24.0,0,2010,21
62114,2015,USA,Swimming,M,24.0,0,2010,21
62115,2015,USA,Surfing,M,20.0,0,2010,21
62116,2015,AUSTRALIA,Surfing,M,42.0,0,2010,21
62117,2015,USA,Stand-Up Paddleboarding,F,50.0,0,2010,21
62118,2015,USA,Kayak Fishing,M,29.0,0,2010,21
62119,2015,AUSTRALIA,Surf-skiing,M,62.0,0,2010,21
62120,2015,USA,Unknown,M,24.0,0,2010,21
62121,2015,THAILAND,Wading,F,37.0,0,2010,21
62122,2015,FIJI,Spearfishing,M,24.0,0,2010,21
62123,2015,USA,Surfing,F,54.0,0,2010,21
62124,2015,USA,Surfing,M,21.0,0,2010,21
62125,2015,USA,Unknown,M,24.0,0,2010,21
62126,2015,AUSTRALIA,Surfing,M,38.0,0,2010,21
62127,2015,USA,Surfing,M,15.0,0,2010,21
62128,2015,USA,Walking,F,10.0,0,2010,21
62129,2015,USA,Kayak Fishing,M,22.0,0,2010,21
62130,2015,SPAIN,Swimming,M,10.0,0,2010,21
62131,2015,USA,Spearfishing,M,57.0,0,2010,21
62132,2015,AUSTRALIA,Surfing,M,52.0,0,2010,21
62133,2015,COSTA RICA,Surfing,M,47.0,0,2010,21
62134,2015,AUSTRALIA,Surfing,M,40.0,0,2010,21
62135,2015,USA,Surfing,M,25.0,0,2010,21
62136,2015,USA,Floating,F,35.0,0,2010,21
62137,2015,AUSTRALIA,Scallop diving on hookah,M,46.0,1,2010,21
62138,2015,USA,Kayak Fishing,M,31.0,0,2010,21
62139,2015,AUSTRALIA,Surfing,M,40.0,0,2010,21
62140,2015,REUNION,Surfing,M,45.0,0,2010,21
62141,2015,SOUTH AFRICA,Surfing,M,34.0,0,2010,21
62142,2015,USA,Surfing,M,38.0,0,2010,21
62143,2015,USA,Treading water,M,39.0,0,2010,21
62144,2015,FRENCH POLYNESIA,Swimming,M,24.0,0,2010,21
62145,2015,BAHAMAS,Spearfishing,F,23.0,0,2010,21
62146,2015,USA,Unknown,M,32.0,0,2010,21
62147,2015,AUSTRALIA,Surfing,M,52.0,0,2010,21
62148,2015,AUSTRALIA,Body boarding,M,32.0,0,2010,21
62149,2015,USA,Swimming,M,68.0,0,2010,21
62150,2015,AUSTRALIA,Surfing,M,24.0,0,2010,21
62151,2015,USA,Playing in the water,M,12.0,0,2010,21
62152,2015,USA,Swimming,M,18.0,0,2010,21
62153,2015,SOUTH AFRICA,Body Boarding,M,19.0,0,2010,21
62154,2015,USA,Swimming,F,24.0,0,2010,21
62155,2015,SOUTH AFRICA,Surfing,M,23.0,0,2010,21
62156,2015,USA,Standing,M,43.0,0,2010,21
62157,2015,AUSTRALIA,Swimming,M,19.0,0,2010,21
62158,2015,USA,Body surfing?,M,47.0,0,2010,21
62159,2015,USA,Swimming,M,6.0,0,2010,21
62160,2015,AUSTRALIA,Surfing,F,37.0,0,2010,21
62161,2015,USA,Standing,M,9.0,0,2010,21
62162,2015,PUERTO RICO,Spearfishing,M,36.0,0,2010,21
62163,2015,USA,Swimming,M,10.0,0,2010,21
62164,2015,USA,Wading,M,16.0,0,2010,21
62165,2015,USA,Wading,F,12.0,0,2010,21
62166,2015,USA,Unknown,F,24.0,0,2010,21
62167,2015,USA,Boogie boarding,F,13.0,0,2010,21
62168,2015,USA,Playing,M,11.0,0,2010,21
62169,2015,USA,Attempting to rescue a shark,F,17.0,0,2010,21
62170,2015,REUNION,Surfing,M,47.0,0,2010,21
62171,2015,USA,Standing,F,14.0,0,2010,21
62172,2015,USA,Wading,F,19.0,0,2010,21
62173,2015,FRENCH POLYNESIA,Spearfishing,M,19.0,0,2010,21
62174,2015,USA,Swimming,F,13.0,0,2010,21
62175,2015,USA,Surfing,M,18.0,0,2010,21
62176,2015,USA,Unknown,M,30.0,0,2010,21
62177,2015,NEW CALEDONIA,Snorkeling,M,50.0,1,2010,21
62178,2015,USA,Swimming,M,24.0,0,2010,21
62179,2015,AUSTRALIA,Surfing,M,24.0,0,2010,21
62180,2015,SOUTH AFRICA,Diving,M,29.0,0,2010,21
62181,2015,USA,Snorkeling,F,65.0,1,2010,21
62182,2015,USA,Wading,M,63.0,0,2010,21
62183,2015,AUSTRALIA,Surfing,M,26.0,0,2010,21
62184,2015,AUSTRALIA,Surf skiing,M,71.0,0,2010,21
62185,2015,USA,Photographing the shark,M,48.0,0,2010,21
62186,2015,REUNION,Surfing,M,13.0,1,2010,21
62187,2015,AUSTRALIA,Paddle boarding,M,24.0,0,2010,21
62188,2015,USA,Spearfishing,M,70.0,0,2010,21
62189,2015,ITALY,Diving,M,43.0,0,2010,21
62190,2015,BRAZIL,Surfing,M,23.0,0,2010,21
62191,2015,SOUTH AFRICA,Kayak Fishing,M,36.0,0,2010,21
62192,2015,EGYPT,Swimming,M,52.0,1,2010,21
62193,2015,USA,Standing / Snorkeling,M,58.0,0,2010,21
62194,2015,FRENCH POLYNESIA,Hand feeding sharks,M,9.0,0,2010,21
62195,2015,AUSTRALIA,Fishing,M,24.0,0,2010,21
62196,2015,MEXICO,Fishing,M,36.0,0,2010,21
62197,2015,FRENCH POLYNESIA,Sitting in the water,M,18.0,0,2010,21
62198,2015,ATLANTIC OCEAN,Transatlantic Rowing,Unknown,24.0,0,2010,21
62199,2015,REUNION,Swimming,F,22.0,1,2010,21
62200,2015,AUSTRALIA,Surfing,M,41.0,1,2010,21
