payid,oid,amount,method_payment,payment_status,order_status
82525dc3-e1c1-4b57-9539-659a7c58c3ad,939bc295-bc1a-4b92-88c9-b015ebfc0da5,1737.48,Credit Card,Failed,Placed
dfe653c9-8d94-4004-8176-debfc92da24a,31a25940-1929-484f-a59a-129819b60efb,917.96,Debit Card,Paid,Shipped
15c606d4-21aa-4762-bf04-4de4532236f8,c4e28ff9-3299-4151-8aab-f25a98a64884,825.3,Debit Card,Paid,Placed
34cbbfbd-95e1-4e85-b146-43dbb8c90ef5,0f9b071f-cdc4-479f-b450-68614105ebee,1298.04,Cash on Delivery,Pending,Shipped
8c1c2b65-7dee-41f5-beaf-ab41e5d39089,f70d8f02-689c-40d9-8641-56648d94b007,121.94,UPI,Failed,Cancelled
c4397db2-6707-4d20-afc4-d2d196dd6382,386681be-52c3-4b1b-afba-3f021eb9abfe,489.32,UPI,Failed,Cancelled
a343168f-f8a9-4fb5-bbbe-951015493659,06482f64-2157-4a0d-855b-e2193317c395,1437.06,UPI,Pending,Placed
8e639ba8-225b-44b1-a722-98d30592b966,e42f6577-0595-40ea-b5b0-a2b619d5ed11,1812.08,UPI,Paid,Shipped
d8b7e292-aa62-4fda-9b98-2542a6f6790a,0e477683-d0e6-43ae-8ffe-cde1d79a587b,661.77,PayPal,Pending,Shipped
b9456b37-57c9-4e49-954d-4d4bcab9566c,3c185f93-b51e-4ef9-8833-fa32a81f8310,292.21,Credit Card,Failed,Cancelled
b8ab6f82-53c3-4698-ae71-5f0986813147,432dca9f-6c35-445d-8497-d2feb3f122f0,2545.53,UPI,Pending,Placed
a81cd1e9-775e-42e3-b0fb-855e5e83129e,505fcb4a-aa64-4d7a-b243-586f144904c7,380.18,UPI,Pending,Cancelled
0da097a2-5cf7-42f7-8ab0-77d44c413f34,cce3ab50-5400-4b4b-aa06-8988736166d8,1113.88,PayPal,Pending,Placed
3068346a-21d7-4946-842d-a6f6aea87450,73e490aa-30dd-4d34-9b47-0175968df40a,2823.04,UPI,Failed,Shipped
20f70fd0-9697-4802-b3be-9ead427ef956,fb169e54-a686-4f91-9844-e45a1d85233a,848.51,Debit Card,Failed,Shipped
e3cb8244-0dfc-48e8-8423-94fd9cd8634a,69abd227-59fc-4c01-90ff-b09d6ae80657,848.46,Cash on Delivery,Failed,Shipped
0700eb75-f76c-43f5-9fbe-4ae33d708841,db6b8c09-c66e-486d-9558-391febaf82cf,874.08,Debit Card,Pending,Cancelled
539aec15-4bdc-49f5-a672-fcc9e8c42f3b,fce34ec8-6513-4b73-b76a-0001f636aa73,3398.24,PayPal,Failed,Shipped
ca67c34e-2087-4bd1-8357-111c00b35c5b,6b83b9c1-018d-4ea0-a7e4-5b94f1194ca7,224.1,UPI,Pending,Placed
22aea73f-b6ea-4025-b3d7-cc8651e9d8aa,7a1aeebe-aca4-4825-8e41-5b99c3916c58,496.06,PayPal,Paid,Placed
30aa9c43-d722-4ac0-b063-29cb4d541b57,9a4b210c-7d9c-436f-8125-b814e45415ac,3269.28,Cash on Delivery,Paid,Shipped
547123f2-6bfd-4337-be59-14912ffe71c1,347231bb-773e-41c0-b267-8ff90ad5ff29,2318.35,UPI,Paid,Shipped
4b831fe9-3fc4-4834-be1e-550bbcbbb76a,6d89a2b1-a270-4dca-93b5-24f064229970,141.08,PayPal,Pending,Cancelled
b569c6a0-b916-40d4-bc62-eb352d826ae8,1572ea40-7d9a-4894-be00-8b96c8d3cd8a,4495.55,Debit Card,Failed,Shipped
a85075b2-ec89-48aa-a2ce-f0417ddc567b,7c50d68b-4571-4fb6-8879-936256582140,3088.68,PayPal,Paid,Shipped
cf47ed8d-ed59-4693-93d4-748d564d422c,26585fbc-4ba9-495b-9b0b-ae6efc14dd79,1744.76,Credit Card,Failed,Cancelled
7c1ca43a-4cdf-4a26-b897-35b8f3789ada,9b93c6d2-7b1c-45ef-a40a-2041b247a732,3979.8,Cash on Delivery,Pending,Placed
bda4e9af-2c3e-4135-9e80-edcd03db1a93,82e411c4-cfcb-444a-ab97-c1c6a18503d6,229.62,Credit Card,Pending,Placed
2bfd1765-8bce-4578-b021-6277e16b4959,03cdf9ea-a391-49b1-8f36-8b0f4a9fdc87,4221.1,Debit Card,Pending,Cancelled
53fb3dc0-0ef9-49a9-a391-cd66b5e57f57,5433d386-df9f-45db-b449-6decc87c555f,2374.08,Debit Card,Failed,Placed
746241e6-159f-4f7e-b82c-b262558c1d42,bda170bb-5442-42d4-92ca-f97bc08f4712,3979.8,Debit Card,Paid,Shipped
f9557643-0992-44d0-bd55-92892e69dd2b,73d9e098-8fa9-4108-bbcb-f1c3349f9a0d,831.83,Credit Card,Failed,Cancelled
0243887e-707d-40df-8c4c-d6f2ca234060,78f45677-e784-42a2-a28c-936f8a359414,64.35,UPI,Paid,Shipped
d3abf0ee-2015-4ab3-b440-c5f05c005999,898e0276-1655-486f-b4db-c324d149725f,856.73,Cash on Delivery,Pending,Cancelled
0831bc4e-5d75-44b1-b4e8-d264923246e1,e6ac0fb4-a0f1-4d31-a33c-62ac3a890391,680.7,UPI,Failed,Shipped
0c0c9d19-677f-47ee-abc9-4f180183544a,80b7fab9-f2f1-417f-83ee-d89960a30c79,1426.68,PayPal,Failed,Cancelled
89a133f8-4d40-4fa9-91b9-37188bb7b270,f84c08ec-19ac-45d2-8d38-7fcd64ed9d7b,447.8,Credit Card,Pending,Shipped
8e30a1f2-958f-4c9f-8737-28adbdd47664,5bc5c837-b18f-45b0-8cdb-79786c224080,236.56,UPI,Pending,Cancelled
c0125461-61b0-4ce2-8111-b6ca7c5b3344,22fc85a8-4219-46a0-ae98-d3e495b022d4,1522.32,Credit Card,Failed,Shipped
2b221ef2-3c5d-4162-845f-f7d2f4d6cf5e,2fe26b89-4d41-4758-a1c2-3ac068ef5918,1175.16,UPI,Paid,Cancelled
164636ef-f44e-46f6-b005-c1f5cb3da5fb,0c1bc995-b2cc-4172-baf6-25a69680693d,4535.65,UPI,Paid,Cancelled
462602f8-9822-4cb5-b79b-9987ec2dd3c5,bf9ae87b-e84b-4722-9387-5bf78e1b1532,546.06,Cash on Delivery,Paid,Shipped
4c342f07-3f3e-45e3-b3c1-98e681642139,8093a719-9b9b-4deb-bbb0-3606eddd1a8d,2866.96,Cash on Delivery,Paid,Placed
c72df14e-0b3c-408a-9075-aa9f32a32ea8,df149332-43f4-484a-bd24-52aa0679a825,423.27,Debit Card,Paid,Cancelled
b041ef03-6f84-423f-8712-95d2ba9f5a9a,7d3aa941-9f32-4544-b135-b1d075120407,345.69,Debit Card,Pending,Placed
64ccba15-2310-4156-bd62-6cf4d8fff326,9fc34027-9c5c-4d35-96e6-f84be27e5479,2964.57,Debit Card,Failed,Placed
37ab283e-4de3-4215-af6f-3124eef94f86,cfad249d-1c38-4adb-badc-800843222c92,1178.34,Debit Card,Failed,Placed
a17894d3-7dd0-4886-ab09-c56613c70bea,2a384e3c-58e4-4c22-a0db-b9ae5132ae88,428.17,Credit Card,Failed,Placed
eaf22d5f-2038-4329-be9b-70f813e8877f,4d667f0c-e24f-4d54-be45-fe7c04fcd86f,385.08,UPI,Paid,Shipped
7e6d1398-dc12-410e-b5f6-c5a55de78217,45153912-40e1-4ac8-b262-e855ccf9c709,1717.9,Debit Card,Failed,Placed
8433c3b6-f9db-4d5f-90fe-7b62e308a677,3e8dd2b3-b933-4c70-a26e-0c06e5358bf6,1778.4,PayPal,Pending,Placed
e48d63d9-36d3-4d2f-b82e-6af524b1de02,993f0a45-f08e-4a81-ad73-10f89b61b4ea,482.56,Debit Card,Failed,Placed
8ce1bc40-3dd5-4fc0-8a06-5856e67c043b,be49ffb3-2ee6-4271-acde-0060151678e7,3447.0,Debit Card,Pending,Shipped
1fd6daff-9393-403d-82a1-08cc9d734eda,3e451605-a370-42b5-a651-701a90c9d870,2449.59,Debit Card,Paid,Cancelled
9a52a735-d2f9-4baf-9aac-104c2333d32d,1ebe2dfa-942c-40db-96b4-bbd046bbc5ac,960.05,Debit Card,Paid,Placed
0f8da6c3-2fe3-4f30-a640-568f243ae9c5,aba492e3-5e89-4038-95e6-4a3e640717bc,653.18,Credit Card,Pending,Cancelled
06a2d07f-8a31-4572-8281-69a331be961c,2df714ea-32d3-4349-9ae2-1465abb4f9b6,850.56,PayPal,Pending,Shipped
766caf98-a3fa-4203-90e7-5bd27d36741a,2937f3b1-b148-4618-86e7-e01e2a85973e,1366.4,Credit Card,Paid,Cancelled
56be4658-9ce8-4465-9f8c-810786e95b95,5c5a626c-a6ac-4be2-87a5-ccdfb2a3446f,2944.86,PayPal,Paid,Shipped
918f8122-0796-4919-aac4-07cffa43ac6d,394d7a2e-8479-43a6-b69e-b20e77650e8a,2986.32,PayPal,Pending,Shipped
aa352dc4-e66f-447e-8714-e45cb820ce67,2f0bdf28-8fcd-4d8c-9795-0ab0cd8fe989,2548.68,Cash on Delivery,Pending,Shipped
69a5aebd-e8b3-43c0-9435-5c9edb37ed01,586c3fd7-9708-416a-a28f-27cce5e2f6c6,38.02,Debit Card,Paid,Shipped
2a79e114-fba1-4ebf-ae61-2eb12e8f1495,4a781400-b4c5-4158-88ce-66940e073759,557.02,Cash on Delivery,Failed,Placed
83e5546e-57a1-4617-905e-e5151fe3bc1c,074da4b0-e728-4291-a087-f5448ec989bf,1000.98,Debit Card,Pending,Placed
1ca15719-41e0-4121-a4d3-bc1ae51a65c2,ed6b45ae-1b8a-4620-805d-8c6923a13fdd,3132.4,Cash on Delivery,Failed,Shipped
7c743794-b882-42b1-aa2e-b047950ad9e8,d32df33e-6c9c-4170-ad9c-cc473a661c77,2823.04,PayPal,Failed,Shipped
a132c0bb-c195-425b-95f0-f911305ad814,8cd3e1ac-ef0f-410c-8538-cb6607302845,1819.56,Credit Card,Failed,Cancelled
269cead0-0f46-4f7e-b730-29ca3a347779,dd8e9480-3fb0-41c0-993d-b8a4451d59c9,1588.0,PayPal,Failed,Shipped
148cb016-423c-435f-92c2-f1777e5c9951,114d8b1c-9ca3-4268-b625-ef625e4456ea,3360.5,PayPal,Pending,Placed
3dafc9fe-1402-45ca-9f3b-55c1d28551c5,ed7db42c-666f-40f1-926a-30084e854dc2,192.01,UPI,Pending,Placed
d46d08fc-c5d3-49f3-977b-bd37b5e5bc8e,8e05ac7d-3f42-4e6d-a7f5-98850ec179a5,2426.08,Debit Card,Pending,Placed
c8b2e276-fe06-42c8-9b9a-cd62064f6963,f7786f0c-f422-49e1-8d8d-a63574e3ca8a,2882.28,Cash on Delivery,Pending,Cancelled
768016b4-03b7-45fa-9d8c-38bbf4b44170,6dc038ac-7a6d-4da9-9c1e-9f86c81bd328,1005.2,Cash on Delivery,Pending,Cancelled
42135930-e4f0-449a-a676-97c67b909863,0c94f1fa-8dd9-4165-8dd3-cc2875617f4d,3361.45,Debit Card,Failed,Cancelled
4ff25acd-8598-4838-8ab7-e42c948d77e2,a7bc5692-7bf2-4e2f-97d5-4417c1b8c478,182.91,Credit Card,Pending,Placed
56a5fccc-4a49-4921-a92d-746297448834,7ebddf0d-a3ef-43d1-a8ac-340b27780d7c,3403.95,Debit Card,Failed,Cancelled
bfef3bc5-1be8-4943-837d-130e43a07f08,d3e2e5b6-1dd4-408e-b1e2-a0bcaf85c01f,2464.62,PayPal,Failed,Placed
f0577470-61b8-42fc-9e43-8aabd20e2dd6,aa44d5ee-3162-4866-8f5c-d6e2c000cbb3,1918.55,UPI,Pending,Cancelled
74f5ee6b-9e3c-482c-aa9e-89632a368f41,653d1230-142a-46a2-93eb-1bdee63fea35,795.68,Debit Card,Paid,Cancelled
1364ab24-cb20-48b5-8cc9-a40c770af749,2df90c88-5ce6-419e-81e0-d58690f32061,1642.54,UPI,Failed,Shipped
e4005216-6df3-40b5-bfe4-ece343c56063,a76f53ae-dcb3-4e14-9641-232110d85de5,302.12,Credit Card,Paid,Shipped
4a6b9721-228b-484e-b8e6-0dbd205b38d3,b83e8619-c466-4296-9d91-40762d986622,871.5,Credit Card,Paid,Cancelled
6feb9aaa-eee4-4b5e-a10f-9b50006db887,4ad5c52e-8f27-4916-b991-7f9f3ac85671,1545.5,Credit Card,Failed,Shipped
e66aa0e2-0320-4601-8979-6196ecbf3d36,0e34f7ae-535c-4b2f-82e1-0697547ecc45,682.31,Cash on Delivery,Paid,Shipped
d86a22da-e21f-4a54-b826-208238bfecc3,d5765e04-6f83-4060-98d8-b5b232f0138d,653.58,PayPal,Paid,Cancelled
e2f8b0cf-c68c-40cc-9899-2e6c458d7081,6430bbe0-94a3-43e3-8d5c-7ecb13e5e022,48.84,PayPal,Paid,Cancelled
998f8ca6-bf50-4f22-9d9c-84f0e4303624,e4e2048b-486b-4e47-8088-2b925b74695a,1132.48,Debit Card,Pending,Shipped
0a79e8eb-8826-4d92-b9f8-3eaef4a3ef12,4b5f51c4-deea-444e-b309-a7cfeb432a7a,2286.64,UPI,Paid,Placed
a4404857-646e-40f7-88f6-a2f5ccd60bd3,43db8777-99e8-41bb-9a9b-a34adbd7fc8d,2021.7,Credit Card,Paid,Shipped
1bd2da4d-d000-40ce-bbe9-e758f9a77619,ab7d5f40-2d8b-4d94-8c4c-cd7bd4386f44,2237.72,Credit Card,Failed,Placed
df707981-a7c5-4441-afc2-4bd1dd965e1a,9ddcfd2d-6fee-4884-836f-5bfdba5ec59f,3864.2,Cash on Delivery,Failed,Shipped
efa47fed-859b-4127-97f2-c63a5c144311,8ec048b2-f2d7-4b6f-8df9-18a2e24a6115,146.11,Credit Card,Failed,Placed
0dd68e4d-4604-4b34-8d06-c2f18e51ce0c,29904969-8836-49b4-bd73-fd5ec8283ae7,182.61,Debit Card,Pending,Cancelled
